Title,Publisher,Address,Core Collection
ACCOUNTING AND BUSINESS RESEARCH,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Social Sciences Citation Index
ACCOUNTING AND FINANCE,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Social Sciences Citation Index
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",Social Sciences Citation Index
ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM,WALTER DE GRUYTER GMBH,"GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785",Emerging Sources Citation Index
ACCOUNTING EDUCATION,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Emerging Sources Citation Index
ACCOUNTING FORUM,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",Social Sciences Citation Index
ACCOUNTING HISTORIANS JOURNAL,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",Emerging Sources Citation Index
ACCOUNTING HISTORY,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",Emerging Sources Citation Index
ACCOUNTING HISTORY REVIEW,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Emerging Sources Citation Index
ACCOUNTING HORIZONS,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",Social Sciences Citation Index
ACCOUNTING IN EUROPE,ROUTLEDGE JOURNALS,"TAYLOR & FRANCIS LTD , 2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Emerging Sources Citation Index
ACCOUNTING ORGANIZATIONS AND SOCIETY,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",Social Sciences Citation Index
ACCOUNTING PERSPECTIVES,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Emerging Sources Citation Index
ACCOUNTING RESEARCH JOURNAL,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",Emerging Sources Citation Index
ACCOUNTING REVIEW,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",Social Sciences Citation Index
ACCOUNTS OF CHEMICAL RESEARCH,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",Science Citation Index Expanded
ACCOUNTS OF MATERIALS RESEARCH,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",Emerging Sources Citation Index
ACCREDITATION AND QUALITY ASSURANCE,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",Science Citation Index Expanded
ACE-ARCHITECTURE CITY AND ENVIRONMENT,UNIV POLITECNICA CATALUNYA,"AVDA DIAGONAL 649, BARCELONA, SPAIN, 08028",Emerging Sources Citation Index
ACG CASE REPORTS JOURNAL,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",Emerging Sources Citation Index
ACI MATERIALS JOURNAL,AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",Science Citation Index Expanded
ACI STRUCTURAL JOURNAL,AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",Science Citation Index Expanded
ACM COMMUNICATIONS IN COMPUTER ALGEBRA,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM COMPUTING SURVEYS,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded
ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO,UNIV STUDI MILANO,"C/O RIVISTA ITALIANA PALEONTOLOGIA STRATIGRAFIA, VIA MANGIAGALLI, 34, MILANO, ITALY, 20133",Emerging Sources Citation Index
ACM JOURNAL OF DATA AND INFORMATION QUALITY,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Emerging Sources Citation Index
ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",Science Citation Index Expanded | Arts & Humanities Citation Index
